# t x vx y vy xd vxd yd vyd
2.04000000 28.84995706 14.14213581  8.43730829 -5.87026457 28.84995706 14.14213581  8.53737029 -5.87026457
2.05000000 28.99137842 14.14213581  8.37811514 -5.96836457 28.99137842 14.14213581  8.47866764 -5.96836457
2.06000000 29.13279978 14.14213581  8.31794099 -6.06646457 29.13279978 14.14213581  8.41898399 -6.06646457
2.07000000 29.27422113 14.14213581  8.25678585 -6.16456457 29.27422113 14.14213581  8.35831935 -6.16456457
2.08000000 29.41564249 14.14213581  8.19464970 -6.26266457 29.41564249 14.14213581  8.29667370 -6.26266457
2.09000000 29.55706385 14.14213581  8.13153256 -6.36076457 29.55706385 14.14213581  8.23404706 -6.36076457
2.10000000 29.69848521 14.14213581  8.06743441 -6.45886457 29.69848521 14.14213581  8.17043941 -6.45886457
2.11000000 29.83990657 14.14213581  8.00235527 -6.55696457 29.83990657 14.14213581  8.10585077 -6.55696457
2.12000000 29.98132792 14.14213581  7.93629512 -6.65506457 29.98132792 14.14213581  8.04028112 -6.65506457
2.13000000 30.12274928 14.14213581  7.86925397 -6.75316457 30.12274928 14.14213581  7.97373047 -6.75316457
2.14000000 30.26417064 14.14213581  7.80123183 -6.85126457 30.26417064 14.14213581  7.90619883 -6.85126457
2.15000000 30.40559200 14.14213581  7.73222868 -6.94936457 30.40559200 14.14213581  7.83768618 -6.94936457
2.16000000 30.54701336 14.14213581  7.66224454 -7.04746457 30.54701336 14.14213581  7.76819254 -7.04746457
2.17000000 30.68843471 14.14213581  7.59127939 -7.14556457 30.68843471 14.14213581  7.69771789 -7.14556457
2.18000000 30.82985607 14.14213581  7.51933325 -7.24366457 30.82985607 14.14213581  7.62626225 -7.24366457
2.19000000 30.97127743 14.14213581  7.44640610 -7.34176457 30.97127743 14.14213581  7.55382560 -7.34176457
2.20000000 31.11269879 14.14213581  7.37249796 -7.43986457 31.11269879 14.14213581  7.48040796 -7.43986457
2.21000000 31.25412015 14.14213581  7.29760881 -7.53796457 31.25412015 14.14213581  7.40600931 -7.53796457
2.22000000 31.39554151 14.14213581  7.22173866 -7.63606457 31.39554151 14.14213581  7.33062966 -7.63606457
